و,and,رو,مثال,پست
transformation,تبدیل,winter,leadership,stratum
art,هنر,length,America,top
family,عیال,careful,Aban,California
human,وابسته بانسان,subordinate,child,straight
son,خلف,relations,album,won
network,شبکهایی,February,Sinai Mountain,strong
Imam,امام,foundation,sign,Seine
solar,خورشیدی,left,lawful,laugh
center,کانون,industrious,portion,uncertain
increase,ترقی کردن,rule,right,movement
salary,مقرری,big,currently,winter
return visit,بازدید,military,include,providing
Hasan,حسن,yours,known,supply
region,بوم,universal,professor,extra
ministry,وزارت,network,until,immigration
soldier,سپاهی,inside,spirit,left
appraisal,دید زدن,age,Mohsen,similar to
number,نمره,extra,end,Canada
soul,جان,year old,certain,Iraq
side,جانبی,end,often,Ibrahim
receipt,دریافتی,industrious,my,translation
decade,دهه,old,straight,singer
world,سرای,talented,expression,types
no,هیچ,collaboration,eight,monthly
such a,آنچنان,sour,economic,with
organ,آلت,remaining,late,outside of
thriving,آباد,city,Hey,specially for
there,آنجل,foundation,thereafter,spring
they,آنها,person,case,country
Afghanistan,افغانستان,those,widespread,transplantation
Khorasan,خراسان,leadership,go,no
mason,حجار,end,provision,start
literature,ادبیات,awak,period,uncertain
creature,آفریده,probability,Hasan,that
born,متولد,most,requirement,happy
Fars,فارس,go,low,winter
spreading,نشر,inside,Sinai Mountain,typical
thirty,عدد سی,stranger,independent,laugh
operation,عملکرد,world,closed,municipality
performer,کننده,resulting,careful,end
directorship,ریاست,Imam,library,for some time
spirit,الکل,no,left,combination
hill,ماهور,man,sun,previous
engineering,مهندسی,decision,bottom,against
volume,جلد,sun,variation,thermometer
materials,مصالح,children,collaboration,river
grail,جام شراب,with,grail,religion
family,عیال,season,way,Greek
normal,عادی,united,famous people,affairs
power,قدرت,visible,tied,lawful
understanding,تفهم,art,economic,instruction
presence,حضر,province,salary,well-known
style,سبک,Dollar,Kurdistan,careless
even,جفت,foundation,this,industries
story,داستان گفتن,always,large,contemporary
elections,انتخابات,Kurdish,hot,two
instrumental,سازی,central,chemical,far
time,زمان,Mordad,beautiful,new
way,وسایل,fresh,stage,in order to
father,ابوی,on,old,Fars
through,از توی,star,security,seven
exist,بودن,small,America,sad
state,ایالت,Islam,Seine,your
Esfehan,اصفهان,so far,worst,different
isle,جزیره,protection,remaining,free
local,موضعی,Turkey,one,number
million,میلیون,closed,strong,music
went,رفت,oriental,Kurdistan,today
designing,طرح ریزی,war,she,visibility
result,ثمر,ugly,happy,stay
mud,گل آلود کردن,knowledge,ship,victory
help,مدد کردن,first,subscriber,project
visible,پدیدار,bottom,communist,what
poetry,اشعار,made,period,rose garden
cause,علت,such as,compilation,novel
percentage,مرابحه,registeration,sign,certain
medical profession,دکتری,uncertain,approval,primitive
birth,ولادت,other,side,province
movement,جنبش,large,whenever,portrait
professor,اولو,hour,first,person
near,نزدیک,given,therefore,prominent
outside of,بیرون,way,real,spring
lunar,قمری,lunar,social,Korea
types,انواع,February,Internet,Britain
past,ماسبق,republic,neigborhood,with
other,نوع دیگر,remaining,law,Arabic
unit,یکه,prisoner,girl,actress
growth,رویش,hejira,south,friend
India,هندستان,while,cold,ignorance
China,چین,cold,awak,Omar
obstruction,پاگیر,February,first,union
society,انجمن,spouse,left,voice
man,من,weather,first,fulfillment
known,برملا,college,straight,foot
winning,برد,united,yet,busy
area,سطح,foreigner,selection,bottom
river,رودخانه ای,sign,solution,new
side,جانبی,August,Abbas,early
economic,اقتصادی,appearance,exclude,village
Russia,روسیه,friend,southern,imaginary
base,فرومایه,professor,recognition,grail
specially for,ویژه,two,illegal,out
only,یگانه,Ahmed,red,civil
college,دانشسرا,end,ugly,traditional
speed,شتاب,A.D.,school,state
minister,وزیر,division,small,two
little,اندازه کم,free,uncertain,permission
state,ایالت,union,off,widespread
after,بعد از,their,public,busy
wet,مرطوب,ancient.,title,England
orient,شرق,cheap,ugly,ugly
fresh,تازه کردن,possible,Persian,idle
illness,دردمآندی,unknown,temper,petroleum
Qoran,قرآن,good,go,beneath
currently,فعلا,six,imported,all
size,اندازه,different,must,after
inspection,معاینه,phantom,big,perception
school,تربیب کردن,give,poetry,careless
incoming,واردشونده,winter,straight,moon
number,نمره,blood,special,large
providing,ارایه,fundamental,idle,electric
Reza,رضا,in order to,idle,face
body,هیکل,report,in,go
management,کارفرمانی,girl,age of,open
Dey,دی,cry,various,Europe
science,علم,beautiful,individuals,mother
total,کل,good,variation,ignorance
agriculture,برزگری,industrious,reason,newspaper
seen,دیده,time,permission,sour
spreading,نشر,likeness,sale,market
requirement,مقرره,result,Europe,far
Seine,سن,specific,Nur,Gilan
manner,سبک,old,some,she
military,لشکری,monetary,tremor,start
letter,نامه,Qoran,famous,Sinai Mountain
polishing,پرداخت,plant,end,illness
illustration,نمایش,crooked,written,requirement
attack,تهاجم کردن,best,Shahrivar,Ziba
system,سیستم,beneath,shine,imprison
well-known,مشهور,your,Turkey,stomach
society,انجمن,above,start,war
cases,قضایا,beautiful,corps,weather
last,پایستن,take,she,real
inspection,معاینه,crooked,that,knowledge
artistic,باهنر,cause,bad,some
reduction,کاهش,certain,if,stage manager
visage,رخسار,known,last,cases
division,جدایی,stranger,hard,stomach
gallows,صلابه,post,industrious,sexual
urban,شهری,utilization,security,foundation
publisher,ناشر,moon,TRUE,careless
old,موسفید,gauze,spring,Hey
some,مقداری,other,inside,girl
piece,عدد,side,model,Afghanistan
project,طرح,closed,age of,Asia
industrial,اهل صنعت,because,real,unconditional
plant,دستگاه,truth,whoever,bottom
supreme,عالی,ruling,foundation,January
Egypt,مصر,bottom,man,such as
Pavlavi,پهلوی,Persian,based on,oriental
stone,حجر,known,stroke,easy
sake,خاطر,visage,become,something
hour,ساعته,energy,materials,square
religion,کیش,toward,Pope,scientific
Tabriz,تبریز,height,those,inside
market,فروشگاه,agreement,thirty,increase
rank,رست,seen,new,total
season,پرادویه کردن,contemporary,scared,Greece
ancient.,باستان,five,imaginary,museum
girl,بنت,busy,handle,province
records,پرونده,first,paint,through
willing,مایل,easy,thirty,compilation
Mahmud,محمود,motor,Shahrivar,March
knowledge,دانش,sad,square,time
expression,اظهار,system,post,friend
height,بلندی,country,science,inside
area,سطح,news agency,guitar,for some time
scattering,پراکندگی,ugly,newspaper,sun
performance,اجرا,album,discovery,central
inside,به داخل,dry,careless,country
release,رها ساختن,early,in order to,Greece
surely,بطور حتم,former,toward,unknown
king,سلطان,lawful,Afghanistan,cold
England,انگلیس,census,known,Saudi Arabia
spouse,همخواب,shi'a,careful,singer
relation,رابطه,with,presence,novel
child,کودک,sour,musical instrument,first
transfer,واگذارکردن,murder,outside,busy
special,ویژه,televised,marriage,late
affairs,مصالح,girl,spread,portrait
reaction,معرفی,if,some,expensive
foreigner,غریب,struggle,fundamental,off
sign,امضا کردن,diary,far,beautiful
Nur,نور,late,kind,they
eye,چشم,bottom,January,murdered
energy,انرژی,the other,rear,Islam
definition,تعریف,stay,united,end
five,بش,stage manager,beginning,Afghanistan
give,دادن,industrious,most,moon
square,مربع,bank,education,station
provision,توشه,happy,victory,summer
Abbas,عباس,role,sweet,in group
target,آماج,ceremony,straight,on
use,مصرف,weather,sour,queen
structure,ساختمان,end,go,sour
prescription,دستورالعمل,above,inside,nowadays
distance,مسافت,king,Ziad,become
nowadays,امروزه,weight,combination,strong
ton,تن,age,universal,motive
excess,بالابود,lawful,universal,model
transportation,حمل و نقل,French,went,Internet
word,واژه,universal,Hasan,sexual
matter,امر,stage,cry,trip
explanation,توجیه,boy,then,children
murdered,فریس,protection,scientific,counted
night,لیله,region,straight,cold
start,عزیمت کردن,kilometer,bottom,speed
specific,مشخص,and,famous,worthiness
topic,مبح,hand,ignorance,if
ten,ده,machine,country,more
white,سفیدپوست,number,outside,ship
March,مارس,directorship,girl,play
marriage,ازدواج,term,house,visible
stage manager,کارگردان,zone,ceremony,supply
first,نزست,girl,friend,trade
kilometer,کیلومتر,Azar,education,best
soil,خاک,right,television,relative
model,مدل سازی,valve,beautiful,finding
yet,درعین حال,surely,primary,marriage
Paul,پل,other,illustration,necessary
short,کوتاهمدت,square,interior,unique
Ibrahim,ابراهیم,in order to,worst,neigborhood
rate,نرخ,person,what,Mohammed
residential,مسکونی,limited,position,industrious
age of,سالگی,manner,piece,ceremony
economy,صرفه جویی,product,white,cheap
trip,سفر,law,have,far
January,ژانویه,iron,permission,proximity
square,مربع,real,victory,new
likeness,مثال,easy,five,beautiful
Mehdi,مهدی,free,village,word
territory,قلم رو,united,plan,beneath
philosophy,فلسفه,mud,security,exclude
truth,حقیقت,ceremony,Islam,sweet
view,منظره,situation,court,beautiful
memory,خاطر,two,Islam,salary
october,اکتبر,size,festival,size
God,باریتعالی,late,prominent,outside
person,نفر,out,last,Esmail
Ziad,زیاد,unknown,struggle,turkish
Britain,بریتانیا,strong,professor,exposition
festival,عید,Mr.,worldwide,cases
fracture,شکست,closed,gone,centers
general,عام,artistic,square,seaport
against,بر علیه,portion,mean,and
born,متولد,size,queen,including
fundamental,اساسی,old,mankind,story
type,گون,Iran,good,money
river,رودخانه ای,correct,beneath,standard
public,عموم,first,,many
worth,مقدار,June,right,inside
humane,انسانی,union,period,independence
system,سیستم,text,Qom,tir
architecture,معماری,industry,left,small
rest,باقیمانده,guidance,proximity,sign
prominent,برجسته,young,cause,functions
route,خط سیر,no,awak,memory
someone,کسی,through,slow,closed
she,ایشان,black,Persian,polishing
Mehr,مهر,Abbas,above,spouse
demise,درگذشت,asleep,bitter,kind
poet,شاعر,known,factors,style
French,فرانسوی,race,personality,organ
expansion,گسترش,Mohammad Reza,prominent,beautiful
radio,رادیویی,summer,they,far
April,آوریل,subsequent,careful,wet
loaded,پر,expansion,first,sweet
opposite,محاذی,year,industrious,numbers
position,جاه,boy,hot,unknown
blood,خون,return,ugly,radio
some,مقداری,Ziba,with,star
probability,احتمال,sea,she,start
November,نوامبر,spirit,middle,five
intention,قصد,governmental,closed,number
education,آموزشی,civil,always,Meshed
often,اکثر اوقات,services,boy,instrumental
like,همانند,rarely,cold,square
private,شخصی,Persian,rank,newspaper
handle,دستگیره,stop,Turkey,friend
skilled,ورزیده,product,style,matter
December,آذرماه,motor,hot,known
Omar,عمر,beautiful,river,illegal
typical,نوعی,cold,spirit,power
Dollar,دلار,art,report,kindness
whenever,وقتی,motor,small,beneath
return,باز گشتن,way,length,court
collaboration,همدستی,ugly,June,out
governmental,حکومتی,Persian,God,cry
profession,حرفه,August,sweet,hundred
televised,تلویزیونی,row,winter,diplomatic
Soviet Union,اتحاد شوروی,sake,spots,only
ancient,قدیم,slow,life,beneath
registeration,ثبت,in,revolution,open
named,موسوم,visage,income,technical
motive,انگیختار,steady,view,currently
order,امر,way,sign,weak
seven,یک هفتم,route,neigborhood,transplantation
primitive,اولیه,Ziba,soul,nations
seaport,شهر ساحلی,,flight,return visit
race,نژاد,style,size,view
counted,شمرده,side,last,New York
operations,عملیات,orient,kind,society
trust,اعتماد,large,five,festival
total,کل,uncertain,new,far
area,سطح,plan,institution,valley
discovery,اکتشاف,agreement,laugh,steering wheel
Yemen,یمن,rank,interior,tool
new,حادث,sign,decade,reason
exposition,توضیح,records,left,uncertain
because,چونکه,case,works,small
support,هواداری کردن,winning,ready,expensive
surrounding,احاطه,cold,second,ugly
based on,برحسب,the same,provision,four
petroleum,نفت خام,old,letter,too
point,اشارهکردن,written,functions,above
low,پایین,primitive,old,union
star,نشان ستاره,April,young,weak
museum,موزه,imperial,white,worst
environment,دوروبر,former,last,Turkish
park,پردیز,beginning,straight,Saudi Arabia
successful,نیک فرجام,prisoner,careless,except
minute,دقیقه,score,outside,expensive
necessary,الزامی,good,trip,center
twenty,بیست,subordinate,monetary,resumption
present,عطیه,square,minister,hejira
yours,مال شما,world,ugly,foundation
singer,سراینده,letter,stage,power
physics,فیزیک,in,crooked,laugh
sea,دریا,whoever,remembering,one another
Japan,ژاپن,there,creation,fracture
remembering,ذکر,hospital,discovery,ugly
street,خیابان فرعی,project,illegal,age
sale,فروش,straight,Saudi Arabia,hill
diary,تاریخچه,polishing,kindness,country
rear,پشت,ugly,hospital,physics
New York,نیو یورک,variation,gone,polishing
contemporary,همزمان,use,first,real
orchard,باغ,relation,wet,there
treatment,طرز عمل,share,dry,include
conditions,شرایط,or,standard,Omar
Italy,ایتالیا,careful,bad,wet
movie theater,سینما,illegal,municipality,parliament
industries,صنایع,in,god,protection
independence,ناوابستگی,there,some,unknown
February,بهمن,family,therefore,use
warm,گرم کردن,book,outside of,various
tir,تیر,Saltanat,busy,remaining
old days,قدیم,my,cry,rukh
occupied,اشغال شده,made,written,periodical
style,سبک,without,through,uncertain
royal,پادشاهی,portion,go,skilled
year old,ساله,ugly,above,diplomatic
found,تاسیس کردن,study,always,surface
turkish,ترک,and,real,but
Paris,پاریس,ugly,best,shi'a
text,متن,science,similar,seriously
determination,عزم,dry,those,humane
June,ژوئن,age of,known,after
mother,مام,cause,most,knowledge
proximity,جوار,Hey,registeration,computer
place,جای,square,appraisal,Asia
middle,میانی,person,April,laugh
religious,خشک مقدس,permission,end,inside
capital,سرستون,Britain,three,sun
month,برج,agreement,beautiful,education
second,ثانیه,without,theater,old
February,بهمن,northern,present,ignorance
interior,درون,million,proximity,large
tremor,لرزه,old,spreading,Khorasan
prisoner,زندانی,iron,news agency,north
structure,ساختمان,people,rank,management
winning,برد,old,Saltanat,team
corps,سپاه,directorship,closed,inspection
time,زمان,big,work,new
spots,نقاط,sun,go,hospital
report,خبر دادن,worst,easy,utilization
energetic,دارای انرژی,Pavlavi,receipt,speech
right,یمین,group,new,hour
seriously,جدا,correlated,on,hospital
services,خدمات,yours,reason,but
age,سن,environment,reason,reaction
by,بدست,Paul,gulf,early
gulf,خلیج,receipt,person,large
mother,مام,then,report,education
Abdullah,عبدالله,requirement,Afghanistan,worth
office,اداره,victory,lawful,Shahrivar
subsequent,لاحق,inside,black,large
universal,جامع,daytime,given,imaginary
stage,مرحله,release,civil,society
sea,دریا,she,suggestion,flat
series,سریال,China,four,sake
politics,دیپلوماسی,order,title,time
prison,هلفدان,with,bitter,inside
manner,سبک,ignorance,must,tongue
utilization,به کارگیری,orchard,late,person
model,مدل سازی,real,Seine,explanation
tool,ابزار,simple,moon,return visit
olympic,المپیک,Ali,Akbar,past
thrust,نیروی پرتاب,given,sultan,reason
tall,رشید,tall,include,inside
order,امر,reach,Persian,selection
thereafter,بدانوسیله,position,or,eight
article,مقاله,race,twenty,sentence
education,آموزشی,beautiful,Seine,old
your,تو,age of,knowledge,combination
rarely,ندرتا,best,late,space
gone,رفته,visage,family,training
ceremony,جشن,relative,beautiful,shi'a
industry,صنعت,scarcity,young,recognition
watery,آب زیپو,end,moon,reduction
soft,لمس,presence,small,paying attention
television,تلویزیون,economy,fortress,trip
but also,بلکه,ugly,requirement,queen
shi'a,شیعه,tall,uncertain,gloomy
leadership,چاوشی,hajji,six,income
neigborhood,محله,moon,then,India
six,شش,resulting,beautiful,become
in group,گروهی,father,industrious,on
domain,حوزه,marriage,sun,brother
today,امروز,old,young,proximity
finally,منته,necessary,English,illegal
geographical,جغرافیایی,cold,China,rules
lack,ناقص بودن,Dollar,number,under
prince,فرمانروای مطلق,sad,singer,diplomatic
institution,موسسه,temper,imprison,Taraneh
strength,توان,exist,trip,legacy
Pope,پاپ,closed,translation,sea
office,اداره,race,eight,stay
different,متمایز,slow,office,England
respect,محترم داشتن,solution,negative,middle
musical instrument,ساز,May,mother,Masood
for some time,مدتی,regarding,summer,cases
green,خرم,ugly,go,small
library,کتابخانه,winner,Afghanistan,sources
tied,بسته,closed,necessary,exclude
therefore,بدلیل آن,industries,then,summer
sultan,سلطان,activity,unknown,time
August,اوت,small,imperial,the same
TRUE,مقرون به حقیقت,side,hot,return
periodical,نشریه دوره ای,prescription,necessary,resumption
Arab,عرب,utilization,beautiful,go
tree,شجره,India,paying attention,zinc
stomach,معده,shine,January,problems
all,همه,too,attack,sun
fire,آتش,probability,age of,whoever
subordinate,زیردست,sweet,domain,to
tune,کوک زدن,paint,happy,relevant
Germanic,آلمانی,approval,fresh,visible
second,ثانیه,motor,Abdullah,variation
service,خدمتگاری,worst,growth,expensive
steady,محکم,gauze,municipality,out
ready,تیار,Greece,second,frontier
sacred,وقف شده,bad,point,easy
take,بر مالیدن,up,real,gauze
import,کالای وارده,straight,inequality,based on
like,همانند,source,post,intention
bring up,بمیان آوردن,uderstood,Abbas,city
monetary,پولی,expansion,knowledge,united
murder,قتل,your,same,stating
rank,رست,go,works,talented
reason,برهان آوردن,production,beginning,girl
surname,ورنام,in order to,yet,sad
civil,حقوقی,thermometer,finished,village
Turkey,ترکیه,end,growth,same
present,عطیه,territory,present,mud
contrary,عکس,Hossein,low,Aban
May,مه,illegal,two,text
Greece,یونان,until,hejira,census
with,به همراه,foundation,historic,ministry
tradition,سنت,product,or,then
relations,روابط,free,Mohammad Reza,sign
ranks,مناسب,town,queen,step
weather,آب و هوا,top,prison,spreading
limited,وعده دار,state,functions,given
defense,دفاع,traditional,product,services
traditional,سنتی,support,Ahmed,relation
Saudi Arabia,عربستان,April,until,London
importance,اهمیت,inspection,mankind,ton
Rome,روم,former,stranger,father
simple,بسیط,everybody,new,city
Kerman,کرمان,state,poet,education
Korea,کره,view,small,unknown
profit,فایده,publisher,type,expensive
love,عاشق,black,protection,awak
left,چپ,Paris,careful,go
usually,معمولا,manager,beginning,energy
novel,جدید,something,right,Hey
martyr,شهید,first,province,such a
sun,هور,Dollar,sweet,seen
struggle,تقلا,special,careless,top
combination,اختلاط,subsequent,Pope,release
Greek,یونانی,after,bottom,scared
protection,حرز,University,selection,include
trade,سودا,intensity,organization,very
situation,موقع,corps,marriage,historic
space,فضایی,exclude,text,July
after,بعد از,Mehdi,beginning,God
principles,اصول رعیتی,with,performance,and
ceremony,جشن,remaining,happy,diary
imperial,سلطنتی,sometimes,local,careful
nations,ملل,residential,guitar,science
mankind,جنس بشر,situation,rate,age of
establishment,جایگیری,death,include,computer
half,نصف,late,old,time
step,پازدن,story,poet,black
limit,حد,incoming,straight,weak
shine,درخشش,careful,what,Afghanistan
temper,آب دیدگی,Turkish,turkish,stranger
one another,هر یک,portrait,stroke,dill
space,فضایی,political party,finally,Kurdish
Asia,آسیا,compilation,beautiful,London
July,ژوئیه,tree,obstruction,
result,ثمر,Nur,thrust,asleep
hard,مشکل,new,first,system
end,انقطاع یافتن,official,large,corps
relation,رابطه,careless,black,artistic
various,متعدد,trust,thermometer,manner
rules,قوانین,sake,twenty,uncertain
size,اندازه,there,top,proximity
income,دخل,child,soccer,religion
report,خبر دادن,straight,country,announcement
London,لندن,seizure,gallows,prisoner
centers,مراکز,one another,flight,intensity
red,مهمره,training,cold,old
numbers,ارقام,ugly,hot,plant
monthly,ماهانه,results,literature,or
except,باستثنای,cause,beautiful,so far
biography,زیستنامه,start,after,beginning
weight,وزنی,best,Farhang,outside
independent,مطلق,orient,outside,sweet
Meshed,مشهد,portrait,soccer,worthiness
scarcity,قحطی,court,hot,society
victory,ظفر,son,creature,right
perception,مشاهده,civil,with,lunar
young,برنا,Gilan,elections,old
gauze,گازپانسمان,ten,different,small
literary,ادبیاتی,off,water,knowledge
Saheb,صاحب,easy,respect,careful
whoever,آنکه,good,intention,view
correlated,مرتبط,school,on,doctor
solution,گشودگی,middle,famous people,top
remaining,مابقی,they,six,near
won,برده,tune,go,universal
effective,کاری,position,cases,rarely
Qom,قم,message,schedule,University
spring,بهار,only,eye,Arab
free will,آزادی اراده,old,beginning,beautiful
correct,غلط گرفتن,well-known,crooked,mathematics
so far,تابحال,television,girl,beneath
former,سابق,sad,leadership,national
ship,کشتی,voice,Paris,limits
hundred,عدد صد,worst,central,solar
talented,بااستعداد,Ali,death,rate
situation,موقع,ranks,imaginary,shine
foot,پا,role,America,result
brother,اخ,very,society,sun
some,مقداری,go,space,truth
tower,برج,monetary,twenty,right
guitar,گیتار,place,exposition,resulting
sometimes,بعضی مواقع,reaction,resident,designing
subject,موکول به,old,king,boy
relative,ربطی,standard,frontier,sign
technical,فنی,two,zinc,beautiful
voice,آوا,stop,mother,diplomatic
Canada,کانادا,Arabic,they,individuals
Mr.,آقای,motor,some,nominee
visibility,قابلیت دیدن,busy,agreement,free
education,آموزشی,training,king,functions
decision,جزم,my,found,bank
Mohammad Reza,محمدرضا,Mr.,memory,area
training,شاگردی,careless,end,happy
manager,کارفرمان,go,first,history
standard,علامت,Europe,hard,schedule
former,سابق,under,June,girl
subscriber,مشترک,periodical,creature,new
prevention,پیشگیری,relation,queen,unknown
recent,تازه,result,inhabitant,library
something,یک چیزی,so far,brave,ceremony
recognition,تشخیص,with,marriage,end
word,واژه,Kurdistan,new,new
most,اغلب,my,outside,rural district
conflict,نبرد,artistic,five,history
superior,مافوق,truth,imaginary,lazy
union,صنفی,title,today,idle
valley,وادی,white,spreading,cry
increase,ترقی کردن,than,republic,exclude
leader,زعیم,open,growth,beautiful
championship,مسابقه قهرمانی,royal,performer,instrumental
Internet,اینترنت,dry,Mahmud,publishing
stem,ساقه,friend,careless,square
lack,ناقص بودن,production,music,itself
speech,نطق,son,trace,New York
resistance,استحکام,hand,then,Kurdistan
score,چوبخط,strong,machine,view
similar to,بر طبق,last,old,Australia
Said,سعید,plant,gauze,likeness
Mordad,مرداد,ranks,province,letter
permission,اذن,sun,because,special
mathematics,ریاضیات,friend,compilation,left
Shahrivar,شهریور,uderstood,bitter,careful
Ziba,زیبا,state,diplomatic,century
resulting,منجر,profession,ugly,stranger
security,وثیقه,water,go,beautiful
resident,ساکن,three,hot,lazy
have,برخوردار بودن,distribution,free will,straight
phantom,ظاهر فریبنده,motive,growth,given
plan,برنامه,careless,law,
reply,پاسخ,target,above,start
road,راه,protection,age of,kilometer
message,پیغام,their,stranger,beginning
Esmail,اسماعیل,general,left,rank
results,عواقب,pond,hundred,solution
iron,اتو کردن,boy,route,performance
passing,سبقت,hospital,seaport,space
based on,برحسب,war,report,beneath
bank,بانک,thousand,unknown,based on
very,خیلی,ancient.,threshold,cry
California,کالیفرنیا,Arab,Musavi,small
personality,صفت شخص,decision,kind,counted
machine,دستگاه,work,Greece,kilometer
look,منظر,mean,after,the same
electric,برقی,mankind,solution,small
availability,دست یابی,birth,hand,become
guidance,راهنمایی,black,collaboration,rules
what,چه,literature,off,one another
study,درس خواندن,bank,instrumental,extra
hajji,حاج,read,idle,off
station,ایستگاه,length,do,such as
flight,پرواز,ugly,movie theater,manager
inequality,نابرابری,wealthy,beginning,like
such as,مانند,increase,through,Ibrahim
immigration,جلای وطن,way,free will,tir
why,برای چه,king,Dey,specific
problems,مسائل,while,Pavlavi,traditional
famous,معروف,humane,Mehr,minister
spring,بهار,imprison,political party,white
itself,خودش,asleep,prisoner,large
Turkish,ترکی,winter,soil,plant
money,مسکوک,beneath,Yemen,import
winner,فاتح,the other,novel,education
news agency,خبرگزاری,Canada,China,entered
verdict,حکم,then,Reza,zinc
religious,خشک مقدس,white,careless,ugly
computer,کامپیوتر,civil,target,crooked
stratum,چینه,religious,watery,happy
friend,دوست کردن,year old,creature,former
Azar,آذر,social,operations,Afghanistan
province,شهرستان,reduction,free,too
on,به روی,strong,role,moon
sediment,ته نشین,square,strength,definition
start,عزیمت کردن,imprison,Saltanat,place
eight,ثامن,unconditional,last,best
dependent,نامستقل,trip,regarding,stop
person,نفر,volume,intensity,transplantation
union,صنفی,spouse,monthly,requirement
read,خواندن,network,white,because
product,حاصل ضرب,bitter,ranks,late
basis,مبنا,limits,white,week
chemical,شیمیایی,easy,February,what
worthiness,شایستگی,awak,hard,famous people
dam,سد,struggle,foundation,memory
flat,تخت,outside of,title,limit
rukh,رخ,young,share,go
pond,دریاچه,old,sour,without
previous,قبلی,championship,including,queen
widespread,همه جاگیر,often,tir,straight
solar year,شمسی,way,idle,outside of
straight,سهی,division,uncertain,publishing
Australia,استرالیا,beginning,spouse,result
suggestion,اظهار عقیده,resident,large,through
red,مهمره,hard,easy,stage
always,دائما,pond,tir,stop
portrait,نقاشی,Mahmud,cause,artistic
truth,حقیقت,left,possible,situation
sexual,جنسی,united,nominee,cry
week,هفت روز,sweet,Imam,beneath
Aban,آبان,end,imperial,yours
primary,اولیه,beginning,result,far
steering wheel,چرخ سکان,unknown,winner,Islam
covering,غشاوت,night,various,significant
frontier,سرحد,good,off,University
last,پایستن,martyr,state,sediment
fight,زد و خورد,covering,French,bottom
severe,عنیف,thousand,weather,through
wealthy,متنعم,sea,strong,Turkish
Saltanat,سلطنت,near,right,illegal
theater,تئاتر,training,demise,summer
intensity,شدت,closed,strong,rarely
Taraneh,ترانه,beautiful,religious,foreigner
protection,حرز,one another,mold,Canada
uderstood,مفهوم,portrait,summer,subject
supply,تهیه کردن,Tabriz,sun,through
Akbar,اکبر,last,small,united
united,موتلف,contrary,diplomatic,provision
palace,دولت سرا,Shah,trust,small
table,جدول,handle,normal,size
communist,کمونیست,subsequent,best,straight
instruction,دستورگان,they,boy,successful
factors,عوامل,winning,city,hot
court,دربار,off,hard,given
Ordibehesht,اردیبهشت,rate,Mohsen,side
unique,یکه,on,domain,careful
similar,تالی,system,manager,first
Mohsen,محسن,relations,twenty,known
compilation,همگردانی,poet,artistic,England
mold,قالب,manner,independent,old
rose garden,گلزار,young,world,truth
imported,ورودی,beginning,elections,guidance
Gilan,گیلان,spring,effective,struggle
post,پست,unique,stating,include
include,حاوی بودن,bad,Rome,because
stating,اشعار,architecture,kind,do
Africa,آفریقا,even,domain,length
project,طرح,ugly,result,first
based on,برحسب,Azar,ignorance,careful
special,ویژه,superior,Europe,Afghanistan
distribution,سرشکنی,row,go,there
representative,هیات نمایندگی,cold,August,white
kindness,ترحم,simple,one,start
reach,رسیدن,queen,title,based on
superior,مافوق,Masood,group,stratum
regarding,عطف به,kind,west,truth
Masood,مسعود,point,cry,remembering
valve,شیر,sexual,soil,busy
motor,موتور,mountain,diary,occupied
Musavi,موسوی,unit,rarely,stating
execution,اجراء,supreme,center,July
ruling,حکم فرما,tall,but,wet
probability,احتمال,river,play,for some time
nominee,نامزد,therefore,area,February
Esfand,اسفند,week,first,intensity
famous people,مشاهیر,ceremony,Europe,must
functions,اعمال,use,white,before
interpretation,تعبیر,go,fight,province
Kurdistan,کردستان,museum,then,laugh
approval,تیید,uncertain,happy,rank
legacy,میراث,top,cold,Ahmed
municipality,بلدیه,station,bad,hospital
hospital,مریضخانه,busy,transplantation,motive
idle,عاطل,industrial,moon,technical
busy,مشغول,Abdullah,imprison,certain
illegal,غیرقانونی,Akbar,entered,census
lawful,بربستی,paint,shout,ugly
imaginary,تخیلی,brave,term,good
real,راستین,top,to,mankind
imprison,زندانی کردن,thrust,one,like
free,بیعوض,machine,solar,before
include,حاوی بودن,attack,counted,Mohammed
exclude,مستثنی کردن,space,obstruction,inhabitant
left,چپ,new,friend,off
right,یمین,beautiful,sweet,late
careful,با ملاحظه,services,ugly,daytime
careless,بی توجه,white,dependent,February
beginning,بدایت,good,go,stroke
end,انقطاع یافتن,leader,worthiness,religion
beginning,بدایت,there,services,open
end,انقطاع یافتن,kind,include,they
stay,نقطه اتکاء,outside,street,tool
go,رفتن,model,currently,Saheb
stop,توقف,Europe,republic,early
go,رفتن,tower,mountain,republic
straight,سهی,city,term,lawful
crooked,معوج,stratum,work,solar year
in,توی,careless,ceremony,computer
out,افشا شده,zone,girl,Shah
inside,به داخل,capital,turkish,river
outside,برونی,murder,Qom,mother
kind,مشفق,provision,stratum,politics
mean,معنی بخشیدن,last,god,unit
king,سلطان,small,brother,principles
queen,شهبانو,inequality,present,treatment
knowledge,دانش,busy,upon,expensive
ignorance,جهل,old,incoming,above
known,برملا,willing,then,volume
unknown,مجهول,hospital,valve,big
large,سترگ,sale,half,spouse
small,کوچک,king,we,statistics
last,پایستن,moon,beneath,exposition
first,نزست,end,historic,prominent
